,xmin,ymin,xmax,ymax,confidence,class,name
94,432.4208984375,228.85107421875,488.732421875,378.67193603515625,0.8908998966217041,0,person
95,495.0970764160156,234.9907989501953,548.5771484375,382.14825439453125,0.8469834923744202,0,person
96,366.1182861328125,127.24671936035156,397.3354187011719,198.96340942382812,0.3786213994026184,9,traffic light
97,392.7038269042969,132.36326599121094,416.9621887207031,198.10757446289062,0.3704995810985565,9,traffic light
98,431.2855529785156,227.5876922607422,487.4804382324219,378.30322265625,0.8944254517555237,0,person
99,494.0381774902344,232.25440979003906,546.6351928710938,379.2857666015625,0.8462008833885193,0,person
100,393.82354736328125,132.52244567871094,417.11328125,197.5360107421875,0.39414656162261963,9,traffic light
101,367.4647521972656,127.69560241699219,397.1890869140625,198.5470733642578,0.38214021921157837,9,traffic light
102,430.4818115234375,227.5858612060547,486.22662353515625,376.1148376464844,0.8966857194900513,0,person
103,493.6824035644531,231.81076049804688,546.1832275390625,378.5308532714844,0.8410753607749939,0,person
104,368.45489501953125,127.41256713867188,396.6318054199219,197.46505737304688,0.4576013684272766,9,traffic light
105,394.5023193359375,132.3163299560547,417.5251770019531,195.75889587402344,0.34668412804603577,9,traffic light
106,430.16748046875,226.2296905517578,485.9720764160156,375.5321350097656,0.9010215997695923,0,person
107,492.7354431152344,229.96710205078125,545.7237548828125,379.1543884277344,0.8441587686538696,0,person
108,368.8790588378906,127.87117767333984,397.2254333496094,197.21823120117188,0.3971799314022064,9,traffic light
109,393.8031921386719,131.92654418945312,417.3504638671875,195.7295379638672,0.3271709084510803,9,traffic light
110,429.8793029785156,227.15150451660156,484.68963623046875,373.7550048828125,0.8905514478683472,0,person
111,492.2310791015625,227.79762268066406,544.7420654296875,379.36260986328125,0.8587108254432678,0,person
112,429.8196716308594,227.02484130859375,484.7796936035156,373.69970703125,0.8910432457923889,0,person
113,492.22607421875,227.7377471923828,544.8076171875,379.23724365234375,0.8579192757606506,0,person
114,429.3593444824219,227.54791259765625,482.883544921875,372.85577392578125,0.8778834342956543,0,person
115,490.85064697265625,226.9840850830078,543.2860717773438,379.63348388671875,0.8487216830253601,0,person
116,368.9014892578125,128.41098022460938,398.13812255859375,197.11688232421875,0.355802446603775,9,traffic light
117,393.04718017578125,127.58995056152344,417.09368896484375,195.5328369140625,0.26590439677238464,9,traffic light
118,428.95855712890625,228.39422607421875,482.31219482421875,370.9453125,0.8731697201728821,0,person
119,489.43963623046875,229.37667846679688,541.3742065429688,379.8054504394531,0.8528580069541931,0,person
120,368.9811096191406,129.14089965820312,400.68402099609375,197.72982788085938,0.26801198720932007,9,traffic light
121,586.067138671875,368.1007080078125,630.7047729492188,442.2131042480469,0.26298558712005615,36,skateboard
122,428.2267761230469,228.3790283203125,481.6033935546875,370.8592529296875,0.8731943964958191,0,person
123,487.4141540527344,228.81060791015625,539.170654296875,377.4014587402344,0.8699600100517273,0,person
124,370.1250305175781,130.0342254638672,401.2057189941406,197.2992706298828,0.3389509320259094,9,traffic light
125,485.6931457519531,225.66737365722656,535.6217651367188,379.2686767578125,0.887848436832428,0,person
126,428.4621276855469,227.60101318359375,481.2425537109375,369.13983154296875,0.8663404583930969,0,person
127,370.4732666015625,130.66346740722656,401.03759765625,196.61270141601562,0.30992451310157776,9,traffic light
128,484.43792724609375,225.150146484375,533.1387329101562,373.615478515625,0.8687670230865479,0,person
129,428.465087890625,227.1304473876953,480.02978515625,367.77020263671875,0.8613934516906738,0,person
130,370.76153564453125,130.92918395996094,401.2566833496094,195.87196350097656,0.3628399074077606,9,traffic light
131,484.4082946777344,225.02162170410156,533.15625,373.7371520996094,0.8683408498764038,0,person
132,428.29248046875,227.09368896484375,480.0253601074219,367.7998352050781,0.861724317073822,0,person
133,370.6781311035156,130.90170288085938,401.7344055175781,195.83255004882812,0.33745047450065613,9,traffic light
134,483.4578857421875,228.01812744140625,531.3928833007812,372.3642883300781,0.852179765701294,0,person
135,428.569091796875,227.15093994140625,478.9843444824219,365.6056823730469,0.8452873826026917,0,person
136,371.19219970703125,130.7611083984375,402.528564453125,196.1630096435547,0.4065419137477875,9,traffic light
137,575.5870971679688,347.0125427246094,627.223388671875,398.69964599609375,0.26992496848106384,36,skateboard
138,483.33343505859375,229.91143798828125,529.2264404296875,369.0917663574219,0.8337653279304504,0,person
139,428.1810607910156,226.3066864013672,478.7835388183594,364.326416015625,0.8291143178939819,0,person
140,371.6359558105469,131.23536682128906,403.6665344238281,196.5109100341797,0.4809146225452423,9,traffic light
141,482.0193176269531,230.95376586914062,527.3151245117188,367.37640380859375,0.821118950843811,0,person
142,431.2298889160156,225.26675415039062,479.4714050292969,360.1051025390625,0.7936972975730896,0,person
143,371.724365234375,131.81735229492188,402.7090148925781,196.54165649414062,0.655619740486145,9,traffic light
144,387.78875732421875,131.9314422607422,416.29461669921875,196.00526428222656,0.2721107304096222,9,traffic light
145,434.1299743652344,228.13636779785156,481.6546325683594,355.83392333984375,0.8167268633842468,0,person
146,481.6458435058594,232.03973388671875,526.1365356445312,366.674560546875,0.8079104423522949,0,person
147,373.11297607421875,133.19137573242188,401.944091796875,196.98179626464844,0.5461530685424805,9,traffic light
148,389.7320556640625,133.4651641845703,417.039306640625,196.21971130371094,0.2516450881958008,9,traffic light
149,435.2851867675781,228.0603790283203,481.7310791015625,355.70343017578125,0.8346716165542603,0,person
150,481.27655029296875,231.89913940429688,524.71728515625,366.17706298828125,0.8108475208282471,0,person
151,373.8254699707031,134.30996704101562,402.091552734375,197.9970245361328,0.3885907232761383,9,traffic light
152,435.3822326660156,228.0669403076172,481.7837219238281,355.75347900390625,0.8363711833953857,0,person
153,481.09332275390625,231.5909423828125,524.7711791992188,366.0941162109375,0.8123664259910583,0,person
154,373.89727783203125,134.35899353027344,402.10211181640625,197.97413635253906,0.3901057541370392,9,traffic light
155,436.98590087890625,227.95034790039062,481.86138916015625,355.03973388671875,0.8570247888565063,0,person
156,482.0016174316406,232.03497314453125,524.018798828125,363.9754638671875,0.7915955781936646,0,person
157,351.6976623535156,337.1867980957031,410.34100341796875,423.6365966796875,0.4444447159767151,13,bench
158,375.5891418457031,135.7079315185547,402.4693908691406,197.4806671142578,0.35507676005363464,9,traffic light
159,438.7101745605469,228.2181396484375,482.423583984375,354.0914306640625,0.8719085454940796,0,person
160,482.1925964355469,233.20021057128906,523.8941040039062,362.6513366699219,0.7883974313735962,0,person
161,351.1090393066406,336.2515869140625,409.8432312011719,420.78607177734375,0.4908800721168518,13,bench
162,376.90191650390625,135.0867919921875,403.0701904296875,195.32757568359375,0.3874706029891968,9,traffic light
163,439.7062072753906,227.9755096435547,483.7606506347656,353.7337951660156,0.8814729452133179,0,person
164,483.9974670410156,237.8802032470703,525.1221313476562,362.9350891113281,0.7863865494728088,0,person
165,379.91900634765625,134.2241668701172,403.0618591308594,193.88250732421875,0.4170374870300293,9,traffic light
166,401.6297607421875,140.45835876464844,420.37646484375,197.2276153564453,0.30525341629981995,9,traffic light
